,Country,Alcoholic Beverages (fat),Animal Products (fat),Animal fats (fat),"Aquatic Products, Other (fat)",Cereals - Excluding Beer (fat),Eggs (fat),"Fish, Seafood (fat)",Fruits - Excluding Wine (fat),Meat (fat),Miscellaneous (fat),Milk - Excluding Butter (fat),Offals (fat),Oilcrops (fat),Pulses (fat),Spices (fat),Starchy Roots (fat),Stimulants (fat),Sugar Crops (fat),Sugar & Sweeteners (fat),Treenuts (fat),Vegetal Products (fat),Vegetable Oils (fat),Vegetables (fat),Obesity (fat),Undernourished (fat),Confirmed (fat),Deaths (fat),Recovered (fat),Active (fat),Population (fat),Unit (all except Population) (fat),Alcoholic Beverages (kcal),Animal Products (kcal),Animal fats (kcal),"Aquatic Products, Other (kcal)",Cereals - Excluding Beer (kcal),Eggs (kcal),"Fish, Seafood (kcal)",Fruits - Excluding Wine (kcal),Meat (kcal),Milk - Excluding Butter (kcal),Miscellaneous (kcal),Offals (kcal),Oilcrops (kcal),Pulses (kcal),Spices (kcal),Starchy Roots (kcal),Stimulants (kcal),Sugar Crops (kcal),Sugar & Sweeteners (kcal),Treenuts (kcal),Vegetal Products (kcal),Vegetable Oils (kcal),Vegetables (kcal),Obesity (kcal),Undernourished (kcal),Confirmed (kcal),Deaths (kcal),Recovered (kcal),Active (kcal),Population (kcal),Unit (all except Population) (kcal),Alcoholic Beverages (protein),Animal Products (protein),Animal fats (protein),"Aquatic Products, Other (protein)",Cereals - Excluding Beer (protein),Eggs (protein),"Fish, Seafood (protein)",Fruits - Excluding Wine (protein),Meat (protein),Milk - Excluding Butter (protein),Offals (protein),Oilcrops (protein),Pulses (protein),Spices (protein),Starchy Roots (protein),Stimulants (protein),Sugar Crops (protein),Sugar & Sweeteners (protein),Treenuts (protein),Vegetal Products (protein),Vegetable Oils (protein),Vegetables (protein),Miscellaneous (protein),Obesity (protein),Undernourished (protein),Confirmed (protein),Deaths (protein),Recovered (protein),Active (protein),Population (protein),Unit (all except Population) (protein)
156,Uganda,0.0,12.3139,0.9627,0.0,3.4479,0.2239,0.862,0.7164,6.101,0.0112,4.0188,0.1343,6.5599,1.0411,0.0336,0.5709,0.1008,0.0,0.0,0.0,37.6917,25.0532,0.1567,4.1,41,0.0870575632364837,0.0007148947333901,0.0313701055945432,0.0549725629085503,45741000.0,%,1.7949,3.8462,0.1865,0.0,13.8462,0.0699,0.4895,6.6667,1.4918,1.5152,0.0233,0.0932,1.7016,5.5711,0.0233,8.7413,0.0233,0.0,2.6573,0.0,46.1538,4.6154,0.4895,4.1,41,0.0870575632364837,0.0007148947333901,0.0313701055945432,0.0549725629085503,45741000.0,%,0.7449,10.3906,0.0382,0.0,13.7809,0.2388,3.2184,2.6168,3.2948,3.0465,0.5539,2.6454,14.9938,0.0478,3.7341,0.0382,0.0,0.0,0.0,39.6046,0.0,0.9932,0.0191,4.1,41,0.0870575632364837,0.0007148947333901,0.0313701055945432,0.0549725629085503,45741000.0,%
157,Ukraine,0.0,26.91,5.494,0.0,3.0837,2.4481,0.516,0.3084,9.635,0.0063,8.691,0.1196,0.1007,0.0629,0.0378,0.2266,0.4972,0.0,0.0,0.7867,23.09,17.4638,0.5223,26.1,3.5,3.07592273445354,0.0592058020967974,2.65338216286084,0.363334769495907,41778000.0,%,1.5319,9.8831,1.2848,0.0,20.0791,0.9059,0.3459,1.153,3.3767,3.8379,0.0165,0.1153,0.0329,0.2965,0.0329,3.9697,0.1812,0.0,6.7699,0.2141,40.1087,4.0521,1.8119,26.1,3.5,3.07592273445354,0.0592058020967974,2.65338216286084,0.363334769495907,41778000.0,%,0.3075,21.693,0.0696,0.0,20.3469,2.4542,1.8276,0.4525,9.074,7.6004,0.6672,0.0174,0.6672,0.0348,3.336,0.2031,0.0,0.0,0.1741,28.307,0.0464,2.692,0.029,26.1,3.5,3.07592273445354,0.0592058020967974,2.65338216286084,0.363334769495907,41778000.0,%
158,United Arab Emirates,0.0,21.4437,4.0036,0.0,3.0418,1.1407,0.8108,0.6766,9.461,0.1006,5.86,0.1677,3.204,1.0624,1.1295,0.0168,0.1454,0.0,0.0,3.8246,28.5563,14.924,0.4306,29.9,2.6,3.30744528533442,0.0093475148292084,3.07916751892002,0.218930251585191,9778000.0,%,0.0,8.8519,0.9505,0.0,20.9268,0.4307,0.6089,2.614,3.6834,3.0744,0.2376,0.1188,0.9505,3.7576,0.5941,0.3862,0.104,0.0,5.4953,1.1585,41.1407,3.5051,1.411,29.9,2.6,3.30744528533442,0.0093475148292084,3.07916751892002,0.218930251585191,9778000.0,%,0.0,20.4155,0.0606,0.0,16.2513,1.0294,2.9531,0.885,10.3405,5.4823,0.5496,0.8803,7.5411,0.5962,0.2189,0.2282,0.0,0.0,0.9875,29.5822,0.0047,1.756,0.2376,29.9,2.6,3.30744528533442,0.0093475148292084,3.07916751892002,0.218930251585191,9778000.0,%
159,United Kingdom,0.0,25.8633,4.2615,0.0,1.4678,1.0778,0.5176,0.4219,12.5789,0.078,7.353,0.0745,1.1664,0.0638,0.1276,0.0851,1.4642,0.0,0.0,0.702,24.1332,18.3507,0.2127,29.5,<2.5,5.86848272781417,0.167220071471114,0.0151608100059559,5.68610184633711,67160000.0,%,2.217,14.2211,1.5607,0.0,13.4189,0.6272,0.5251,1.9837,6.5636,4.8425,0.2917,0.1021,0.5543,0.5105,0.1604,2.5817,0.7585,0.0,5.3092,0.3209,35.7789,6.6657,1.0064,29.5,<2.5,5.86848272781417,0.167220071471114,0.0151608100059559,5.68610184633711,67160000.0,%,0.4758,28.108,0.0673,0.0,13.8546,1.6724,2.5181,0.7256,14.5754,8.8375,0.4325,0.7353,1.0909,0.173,1.9607,0.7785,0.0,0.0048,0.2979,21.8944,0.0,1.4657,0.3316,29.5,<2.5,5.86848272781417,0.167220071471114,0.0151608100059559,5.68610184633711,67160000.0,%
160,United Republic of Tanzania,0.0,7.5907,1.5442,0.0,4.214,0.0744,0.4558,0.2698,3.014,0.0,2.5023,0.0,8.3628,1.0233,0.1302,0.7163,0.0279,0.0,0.0,0.3628,42.4093,27.0605,0.2419,7.1,30.7,0.0008521110255465,3.51558576355175e-05,0.0003063581879666,0.0005105969799444,59734000.0,%,1.0643,2.7337,0.313,0.0,20.409,0.0209,0.2922,2.5042,0.9182,1.1895,0.0,0.0,2.2329,4.8831,0.0626,7.5751,0.0209,0.0,2.4207,0.0835,47.2663,5.3631,0.6469,7.1,30.7,0.0008521110255465,3.51558576355175e-05,0.0003063581879666,0.0005105969799444,59734000.0,%,0.5436,7.8113,0.0084,0.0,19.244,0.0836,1.8567,1.4636,2.9857,2.877,0.0,2.9355,12.3693,0.0753,3.9977,0.0585,0.0,0.0084,0.092,42.1845,0.0,1.3883,0.0167,7.1,30.7,0.0008521110255465,3.51558576355175e-05,0.0003063581879666,0.0005105969799444,59734000.0,%
161,United States of America,0.0,21.2045,3.3013,0.0,1.2829,1.25,0.3887,0.4426,9.4166,0.0,6.8359,0.009,1.7464,0.0449,0.0867,0.0478,0.3977,0.0,0.0,0.942,28.797,23.6117,0.1944,37.3,<2.5,8.15992184989602,0.140103007778633,0.0,8.01981884211739,329878000.0,%,2.1373,13.6201,1.3009,0.0,10.7792,0.7832,0.4779,1.7788,6.1065,4.925,0.0,0.0133,0.9027,0.4646,0.1062,1.2478,0.292,0.0,8.0048,0.4779,36.3733,9.2792,0.9292,37.3,<2.5,8.15992184989602,0.140103007778633,0.0,8.01981884211739,329878000.0,%,0.2946,32.4775,0.0264,0.0044,10.4594,2.0048,2.3873,0.5935,18.0875,9.8791,0.0879,1.2706,1.0332,0.1231,1.064,0.6331,0.0,0.0747,0.4924,17.5247,0.0835,1.3981,0.0,37.3,<2.5,8.15992184989602,0.140103007778633,0.0,8.01981884211739,329878000.0,%
162,Uruguay,0.0,25.5069,3.4811,0.0,2.5698,1.2804,0.3281,0.1777,12.2841,0.0456,8.0603,0.0729,1.5127,0.0729,0.0319,0.1002,0.7564,0.0,0.0,0.1367,24.4908,18.8819,0.2096,28.9,<2.5,1.26910223732654,0.0136222033418295,1.08946474086661,0.166015293118097,3531000.0,%,1.3481,12.1808,1.0785,0.0,17.732,0.6661,0.2855,1.3957,5.2181,4.8374,0.1427,0.0952,0.5868,0.4282,0.0317,1.586,0.4758,0.0,7.3751,0.0476,37.8113,5.8208,0.8565,28.9,<2.5,1.26910223732654,0.0136222033418295,1.08946474086661,0.166015293118097,3531000.0,%,0.1599,26.7144,0.0178,0.0,16.4397,1.9187,1.5693,0.6573,11.7731,10.9203,0.5152,0.6455,1.06,0.0415,1.0897,1.6878,0.0,0.0059,0.0533,23.2856,0.0296,1.2496,0.1658,28.9,<2.5,1.26910223732654,0.0136222033418295,1.08946474086661,0.166015293118097,3531000.0,%
163,Uzbekistan,0.0,25.9903,2.4884,0.0,2.7168,1.0639,0.0962,0.583,10.3624,0.012,11.805,0.1743,0.3366,0.0,0.018,0.0902,0.1683,0.0,0.0,0.7754,24.0067,18.4589,0.8535,15.3,6.3,0.231301574296249,0.0018171709486744,0.226751331421549,0.0027330719260256,34174000.0,%,0.6785,10.7893,0.6123,0.0,24.8221,0.4137,0.0662,2.2174,3.5247,6.007,0.0331,0.1655,0.0993,0.0,0.0165,1.6217,0.0662,0.0,1.7045,0.2151,39.2189,4.5011,3.2269,15.3,6.3,0.231301574296249,0.0018171709486744,0.226751331421549,0.0027330719260256,34174000.0,%,0.0588,20.0246,0.0374,0.0,23.3709,1.0317,0.3582,0.7698,7.1952,10.5736,0.8286,0.1336,0.0107,0.016,1.2509,0.1604,0.0,0.0,0.1657,29.9781,0.0053,3.9985,0.0321,15.3,6.3,0.231301574296249,0.0018171709486744,0.226751331421549,0.0027330719260256,34174000.0,%
164,Vanuatu,0.0,14.9179,1.9531,0.0,4.1249,0.3509,1.4343,0.3052,9.9334,0.0254,1.1495,0.0966,23.1779,0.0,0.1068,0.4578,0.2187,0.0,0.0,0.0356,35.0847,6.4849,0.1424,23.5,7.2,0.0003115264797507,0.0,0.0003115264797507,0.0,321000.0,%,0.2668,7.4519,0.667,0.0,16.1044,0.1906,1.2197,2.287,4.3835,0.8767,0.0762,0.1334,10.4822,0.0,0.0953,7.9093,0.1144,0.0,2.4204,0.0191,42.5386,2.1536,0.6099,23.5,7.2,0.0003115264797507,0.0,0.0003115264797507,0.0,321000.0,%,0.0078,19.8713,0.0863,0.0,14.6387,0.6119,6.8016,1.1532,9.8533,1.6082,0.91,6.6761,0.0078,0.1177,5.7347,0.0863,0.0,0.0,0.0157,30.1247,0.0078,1.5847,0.102,23.5,7.2,0.0003115264797507,0.0,0.0003115264797507,0.0,321000.0,%
165,Venezuela (Bolivarian Republic of),0.0,16.3261,2.2673,0.0,2.5449,0.6555,0.5707,0.964,7.0949,0.0077,5.5217,0.2082,0.1003,0.1157,0.0,0.1311,0.0848,0.0,0.0,0.0154,33.6855,29.5211,0.1851,25.2,21.2,0.452585093384535,0.0042869610752312,0.424398673415954,0.0238994588933496,28645000.0,%,0.8454,7.2303,0.6007,0.0,21.3126,0.2892,0.4449,2.3804,3.1368,2.6474,0.0222,0.1335,0.0445,0.7341,0.0,1.3571,0.0667,0.0,7.7864,0.0,42.7586,7.5417,0.6674,25.2,21.2,0.452585093384535,0.0042869610752312,0.424398673415954,0.0238994588933496,28645000.0,%,0.1955,22.5411,0.1244,0.0,21.6526,0.8707,2.6477,1.0662,11.8347,6.3083,0.7641,0.0444,1.9369,0.0,1.1195,0.3287,0.0,0.0178,0.0,27.4545,0.0533,1.0129,0.0267,25.2,21.2,0.452585093384535,0.0042869610752312,0.424398673415954,0.0238994588933496,28645000.0,%
166,Vietnam,0.0,33.2484,3.8238,0.0,3.7155,0.7839,1.1217,0.4079,26.4292,0.0064,0.752,0.3378,4.2891,0.0765,0.6309,0.0701,0.0829,0.0382,0.0,1.1726,16.7548,5.6211,0.6373,2.1,9.3,0.0020632165389932,3.63791329293517e-05,0.0015258447754368,0.000500992630627,96209000.0,%,0.715,10.9806,0.9363,0.0,26.9833,0.2894,1.0385,1.8046,7.8311,0.5618,0.034,0.3064,1.8897,0.4597,0.4256,0.715,0.1021,0.1532,2.094,0.3575,39.0364,1.3279,1.9578,2.1,9.3,0.0020632165389932,3.63791329293517e-05,0.0015258447754368,0.000500992630627,96209000.0,%,0.1555,20.4466,0.1555,0.0056,18.5247,0.7665,5.7435,0.7165,11.0426,1.0887,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.0167,0.0056,0.3277,29.5617,0.0,3.7216,0.0389,2.1,9.3,0.0020632165389932,3.63791329293517e-05,0.0015258447754368,0.000500992630627,96209000.0,%
167,Yemen,0.0,12.5401,2.0131,0.0,11.5271,0.5514,0.3847,0.2564,8.001,0.0256,1.3463,0.2436,0.7565,0.5001,0.1026,0.0513,0.3718,0.0,0.0,0.0769,37.4535,23.6312,0.1667,14.1,38.9,0.0071313618990142,0.002061959364313,0.0047877690605512,0.00028163347415,29826000.0,%,0.0,3.4667,0.3394,0.0,32.0727,0.1455,0.1697,1.1879,2.0121,0.6545,0.0485,0.1212,0.1697,1.2121,0.0485,0.3152,0.1212,0.0,7.0303,0.0242,46.5455,3.9515,0.3636,14.1,38.9,0.0071313618990142,0.002061959364313,0.0047877690605512,0.00028163347415,29826000.0,%,0.0,10.0122,0.0188,0.0,35.1179,0.432,0.9392,0.4884,5.9453,1.963,0.7232,0.2254,2.9398,0.0657,0.2066,0.3193,0.0,0.0,0.0188,39.9831,0.0,0.5448,0.0564,14.1,38.9,0.0071313618990142,0.002061959364313,0.0047877690605512,0.00028163347415,29826000.0,%
168,Zambia,0.0783,9.6005,1.6113,0.0,14.3225,0.6266,1.007,0.1343,4.901,0.0224,1.2756,0.179,9.8915,0.0783,0.1567,0.2014,0.0671,0.0,0.0,0.0112,40.3939,15.2848,0.1567,6.5,46.7,0.334132941688425,0.0045637510879025,0.290524369016536,0.0390448215839861,18384000.0,%,1.1925,3.3043,0.323,0.0,31.5528,0.1988,0.5714,0.2236,1.5155,0.5217,0.0497,0.1491,3.1801,0.2981,0.0745,4.0994,0.0248,0.0,2.559,0.0,46.7081,3.0062,0.4472,6.5,46.7,0.334132941688425,0.0045637510879025,0.290524369016536,0.0390448215839861,18384000.0,%,0.4824,9.8925,0.0338,0.0,28.5182,0.5839,3.0126,0.0931,4.3158,1.0324,0.9139,8.0562,0.6431,0.0846,1.2863,0.0762,0.0,0.0,0.0,40.1117,0.0,0.8039,0.0592,6.5,46.7,0.334132941688425,0.0045637510879025,0.290524369016536,0.0390448215839861,18384000.0,%
169,Zimbabwe,0.0,10.3796,2.9543,0.0,9.7922,0.3682,0.2455,0.0614,4.5674,0.0175,2.104,0.1315,1.9462,0.114,0.0526,0.0877,0.1052,0.0,0.0,0.4296,39.6248,26.9396,0.0789,12.3,51.3,0.232032564085313,0.0088542017089416,0.190964139137455,0.0322142232389154,14863000.0,%,1.4269,3.9356,0.6904,0.0,29.8044,0.1381,0.1611,0.4373,1.7491,1.0817,0.046,0.0921,0.6904,0.6214,0.046,1.2888,0.046,0.0,5.0403,0.1151,46.0759,6.2601,0.2532,12.3,51.3,0.232032564085313,0.0088542017089416,0.190964139137455,0.0322142232389154,14863000.0,%,0.2929,11.3443,0.0391,0.0,33.1934,0.5077,1.0837,0.2636,6.6582,2.4114,0.6541,1.523,1.6987,0.0488,0.5467,0.2636,0.0,0.0,0.1367,38.6508,0.0293,0.5955,0.0586,12.3,51.3,0.232032564085313,0.0088542017089416,0.190964139137455,0.0322142232389154,14863000.0,%
